Genl group,Order acro,Order,Family acro,Family,Subfam acro,Genus,Species,Species acro1,Species acro2,Uncertain Id1,Common name,Comments,Growth form,Growth form,Cultivated only?8,Plant type2,Plant type2,Plant type2,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Location 4,Location 4,Location 4,Location 4,B2,B3 incl. hammock5,NWH (NW hammock),B5,B6,B10,B16,Status6,Status6,Sources7,,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Allamanda,schottii,AllSch,AlSc,NA,NA,NA,Shrub,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8260,Tchng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Alstonia,macrophylla,AlsMac,AlMa,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Asclepias,curassivica,AscCur,AsCu,NA,NA,NA,Herb,NA,N,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Dipladenia,sanderi,DipSan,DiSa,NA,NA,NA,Vine,Herb,Y,Landsc,NA,NA,NA,NA,NA,NA,B4,8211,DakNGnhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Echites,umbellata,EchUmb,EcUm,NA,NA,S fence next to Roc (planted?),Vine,NA,N,Landsc,Roc,NA,NA,NA,NA,NA,Sfence,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,[4also],,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Metastelma,blodgettii,MetBlo,MeBl,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Gent,Gentianales,Apoc,Apocynaceae,NA,Plumeria,rubra,PluRub,PlRu,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Alocasia,zebrina,AloZeb,AlZe,Sp.,NA,NA,Herb,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Epipremnum,pinnatum,EpiPin,EpPi,NA,NA,NA,Vine,NA,N,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A2.2,Alis,Alismatales,Arac,Araceae,NA,Monstera,deliciosa,MonDel,MoDe,NA,NA,NA,Shrub,Vine,?,Landsc,CropP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
